id,type,ts,cpu,mem
cpu,1,1705665109287000000,0.007773,6656000
cpu,1,1705665111873000000,0.009234,6656000
cpu,1,1705665114482000000,0.007742,6656000
cpu,1,1705665117075000000,0.007466,6660096
cpu,1,1705665119649000000,0.007831,6660096
cpu,1,1705665122060000000,0.009250,6656000
cpu,1,1705665124463000000,0.007576,6656000
cpu,1,1705665127021000000,0.008980,6660096
cpu,1,1705665129563000000,0.008486,6660096
cpu,1,1705665131964000000,0.009426,6656000
cpu,1,1705665134480000000,0.008557,6656000
cpu,1,1705665137005000000,0.007884,6656000
cpu,1,1705665139886000000,0.008217,6660096
cpu,1,1705665142508000000,0.009516,6660096
cpu,1,1705665144950000000,0.007908,6656000
cpu,1,1705665147283000000,0.009191,6656000
cpu,1,1705665149868000000,0.007816,6656000
cpu,1,1705665152435000000,0.008341,6656000
cpu,1,1705665154862000000,0.008177,6656000
cpu,1,1705665157296000000,0.008865,6660096
cpu,1,1705665159860000000,0.008760,6660096
cpu,1,1705665162543000000,0.008776,6660096
cpu,1,1705665165049000000,0.007670,6656000
cpu,1,1705665167259000000,0.008943,6660096
cpu,1,1705665169711000000,0.007731,6660096
cpu,1,1705665172039000000,0.009924,6660096
cpu,1,1705665174430000000,0.007792,6656000
cpu,1,1705665176887000000,0.007364,6656000
cpu,1,1705665179567000000,0.007869,6660096
cpu,1,1705665181884000000,0.008995,6660096
cpu,1,1705665184565000000,0.008033,6660096
cpu,1,1705665187073000000,0.007848,6656000
cpu,1,1705665189332000000,0.009405,6656000
cpu,1,1705665191521000000,0.010881,6660096
cpu,1,1705665193935000000,0.009369,6660096
cpu,1,1705665196270000000,0.008989,6660096
cpu,1,1705665198407000000,0.009218,6656000
cpu,1,1705665200751000000,0.009241,6656000
cpu,1,1705665203311000000,0.010187,6660096
cpu,1,1705665205532000000,0.009625,6660096
cpu,1,1705665208173000000,0.009210,6656000
cpu,1,1705665210716000000,0.009015,6656000
cpu,1,1705665212924000000,0.007082,6656000
cpu,1,1705665215212000000,0.008806,6660096
cpu,1,1705665217946000000,0.009316,6660096
cpu,1,1705665220462000000,0.008743,6656000
cpu,1,1705665222718000000,0.011045,6656000
cpu,1,1705665225089000000,0.008958,6656000
cpu,1,1705665227771000000,0.010186,6656000
cpu,1,1705665230158000000,0.009088,6656000
cpu,1,1705665232359000000,0.008713,6656000
cpu,1,1705665234583000000,0.009061,6656000
cpu,1,1705665236923000000,0.008941,6656000
cpu,1,1705665239130000000,0.008950,6656000
cpu,1,1705665241343000000,0.009229,6656000
cpu,1,1705665243959000000,0.009172,6656000
cpu,1,1705665246471000000,0.009230,6656000
cpu,1,1705665249179000000,0.008492,6660096
cpu,1,1705665251500000000,0.007905,6660096
cpu,1,1705665253659000000,0.009649,6660096
cpu,1,1705665256105000000,0.008726,6660096
cpu,1,1705665258523000000,0.006908,6660096
cpu,1,1705665260841000000,0.008918,6660096
cpu,1,1705665263266000000,0.010467,6660096
cpu,1,1705665265760000000,0.008829,6660096
cpu,1,1705665268395000000,0.008720,6660096
cpu,1,1705665270954000000,0.009612,6660096
cpu,1,1705665273313000000,0.010499,6656000
cpu,1,1705665275765000000,0.009145,6656000
cpu,1,1705665278235000000,0.009060,6656000
cpu,1,1705665280696000000,0.009663,6656000
cpu,1,1705665283173000000,0.010204,6656000
cpu,1,1705665285639000000,0.008979,6656000
cpu,1,1705665288199000000,0.010457,6660096
cpu,1,1705665290602000000,0.009009,6660096
cpu,1,1705665293113000000,0.008844,6656000
cpu,1,1705665295596000000,0.008523,6656000
cpu,1,1705665298328000000,0.010162,6656000
cpu,1,1705665300989000000,0.008625,6656000
cpu,1,1705665303688000000,0.010447,6660096
cpu,1,1705665306278000000,0.008526,6656000
cpu,1,1705665309172000000,0.009740,6656000
cpu,1,1705665311815000000,0.008729,6656000
cpu,1,1705665314469000000,0.009206,6656000
cpu,1,1705665317098000000,0.008620,6656000
cpu,1,1705665319403000000,0.008472,6656000
cpu,1,1705665321880000000,0.010358,6782976
cpu,1,1705665324239000000,0.009283,6656000
cpu,1,1705665326588000000,0.009177,6656000
cpu,1,1705665329299000000,0.010609,6656000
cpu,1,1705665331575000000,0.008434,6656000
cpu,1,1705665333980000000,0.008662,6656000
cpu,1,1705665336684000000,0.009335,6660096
cpu,1,1705665339300000000,0.008800,6660096
cpu,1,1705665341907000000,0.008760,6660096
cpu,1,1705665344515000000,0.008920,6660096
cpu,1,1705665347138000000,0.010636,6660096
cpu,1,1705665349706000000,0.008767,6660096
cpu,1,1705665352313000000,0.008723,6660096
cpu,1,1705665354840000000,0.007277,6660096
cpu,1,1705665357463000000,0.008589,6660096
cpu,1,1705665359904000000,0.008792,6660096
cpu,1,1705665362435000000,0.009813,6656000
cpu,1,1705665365265000000,0.010955,6660096
cpu,1,1705665367715000000,0.010237,6660096
cpu,1,1705665370331000000,0.011077,6656000
cpu,1,1705665372779000000,0.010027,6656000
cpu,1,1705665375483000000,0.009428,6660096
cpu,1,1705665378154000000,0.009464,6660096
cpu,1,1705665380994000000,0.010131,6656000
cpu,1,1705665383313000000,0.009712,6656000
cpu,1,1705665385469000000,0.010892,6660096
cpu,1,1705665388097000000,0.011516,6660096
cpu,1,1705665390600000000,0.010749,6656000
cpu,1,1705665393123000000,0.009293,6656000
cpu,1,1705665395730000000,0.008673,6660096
cpu,1,1705665398412000000,0.008806,6660096
cpu,1,1705665401053000000,0.009029,6656000
cpu,1,1705665403407000000,0.010216,6660096
cpu,1,1705665406041000000,0.009061,6660096
cpu,1,1705665408571000000,0.008213,6660096
cpu,1,1705665410981000000,0.007964,6660096
cpu,1,1705665413641000000,0.007677,6660096
cpu,1,1705665415824000000,0.007791,6656000
cpu,1,1705665418449000000,0.007404,6656000
cpu,1,1705665420899000000,0.005924,6656000
cpu,1,1705665423262000000,0.007963,6660096
cpu,1,1705665425561000000,0.009134,6660096
cpu,1,1705665427769000000,0.007733,6660096
cpu,1,1705665430095000000,0.007514,6660096
cpu,1,1705665432425000000,0.007660,6656000
cpu,1,1705665434641000000,0.007474,6656000
cpu,1,1705665436841000000,0.008997,6660096
cpu,1,1705665439056000000,0.009609,6660096
cpu,1,1705665441394000000,0.010172,6660096
cpu,1,1705665443609000000,0.010693,6782976
cpu,1,1705665445817000000,0.010324,6656000
cpu,1,1705665448102000000,0.009205,6656000
cpu,1,1705665450305000000,0.010714,6656000
cpu,1,1705665452518000000,0.009144,6656000
cpu,1,1705665454716000000,0.009477,6656000
cpu,1,1705665457013000000,0.008984,6656000
